label,timestamp,duration,pkg,dram,socket
delta,1722419903.3939238,39074.402,5502611.0,865521.0,0
delta,1722419903.7048547,42097.513,5204332.0,923768.0,0
delta,1722419904.0318475,42389.436,5509324.0,929276.0,0
delta,1722419904.353088,40844.438,5340928.0,896412.0,0
delta,1722419904.672286,41399.366,5302843.0,896473.0,0
delta,1722419904.9951642,40247.153,5271593.0,883545.0,0
delta,1722419905.3156886,40286.33,5288195.0,878296.0,0
delta,1722419905.6371922,41214.32,5475572.0,899716.0,0
delta,1722419905.9566438,39576.262,5330064.0,876460.0,0
delta,1722419906.2316117,38628.018,5326403.0,865781.0,0
delta,1722419906.5066824,42080.549,5381090.0,955531.0,0
delta,1722419906.781901,34726.879,4844470.0,802883.0,0
delta,1722419907.0517938,39832.734,5481126.0,896932.0,0
delta,1722419907.327751,39478.744,5390000.0,862645.0,0
delta,1722419907.603958,37204.905,5128344.0,824426.0,0
delta,1722419907.8805294,37152.009,5070300.0,828602.0,0
delta,1722419908.1545734,39155.078,5267504.0,860350.0,0
delta,1722419908.4297655,38320.512,5365587.0,866791.0,0
delta,1722419908.7047968,37340.242,5176256.0,830652.0,0
delta,1722419908.9779313,36984.024,5093066.0,833223.0,0
delta,1722419909.2508962,37601.434,5134142.0,826628.0,0
delta,1722419909.5253236,36850.999,5217638.0,827669.0,0
delta,1722419909.799509,37164.265,5246385.0,836069.0,0
delta,1722419910.077999,38405.064,5263170.0,846060.0,0
delta,1722419910.3529198,37095.503,5156481.0,825741.0,0
delta,1722419910.628962,38227.63,5275499.0,847911.0,0
delta,1722419910.9026885,36319.83,5045459.0,806188.0,0
delta,1722419911.1781301,37574.082,5272081.0,840322.0,0
delta,1722419911.4577122,36987.463,5093920.0,810732.0,0
delta,1722419911.739909,40553.588,5322862.0,900206.0,0
delta,1722419912.0210092,45831.884,6077560.0,976890.0,0
delta,1722419912.304157,36829.851,5043932.0,826644.0,0
delta,1722419912.5817924,39677.542,5342516.0,878633.0,0
delta,1722419912.901305,43335.202,4530811.0,930867.0,0
delta,1722419913.2292752,42055.573,4505420.0,908866.0,0
delta,1722419913.549873,44005.402,4541187.0,950314.0,0
delta,1722419913.8773906,48416.303,4804309.0,1030547.0,0
delta,1722419914.2034636,38831.871,5259996.0,865643.0,0
delta,1722419914.5128236,39096.15,5375535.0,870080.0,0
delta,1722419914.8261633,36498.408,5061877.0,831203.0,0
delta,1722419915.1491961,38804.949,5254931.0,863776.0,0
delta,1722419915.4622946,36337.26,5198046.0,834339.0,0
delta,1722419915.7662756,38379.21,5402574.0,860793.0,0
delta,1722419916.0748887,36467.246,4992602.0,819315.0,0
delta,1722419916.4008286,38012.805,5066576.0,852454.0,0
delta,1722419916.7082713,35923.988,4890735.0,814220.0,0
delta,1722419917.0433047,42574.418,5755661.0,947131.0,0
delta,1722419917.3584895,39790.119,5475694.0,885488.0,0
delta,1722419917.6662714,37623.218,5119860.0,833972.0,0
delta,1722419917.9730823,37242.008,5144641.0,833559.0,0
delta,1722419918.281379,38536.864,5345506.0,876828.0,0
delta,1722419918.5570421,37860.646,5328355.0,850650.0,0
delta,1722419918.8265028,35925.39,5044054.0,823431.0,0
delta,1722419919.1003969,36784.241,5221605.0,836466.0,0
delta,1722419919.366204,35377.413,4978259.0,803082.0,0
delta,1722419919.6319003,34646.859,4805468.0,778311.0,0
delta,1722419919.8963485,36913.772,5193957.0,829138.0,0
delta,1722419920.1651688,34747.567,5039599.0,796273.0,0
delta,1722419920.4324071,37798.37,5424242.0,846197.0,0
delta,1722419920.700164,35305.32,5004077.0,805163.0,0
delta,1722419920.9655347,39295.511,5677109.0,885151.0,0
delta,1722419921.2521734,36574.918,5170275.0,824839.0,0
delta,1722419921.5223641,37818.142,4862353.0,876368.0,0
delta,1722419921.7945602,37059.294,5190844.0,853663.0,0
delta,1722419922.0655656,36340.217,4990466.0,826307.0,0
delta,1722419922.3343117,35426.932,5222582.0,897039.0,0
delta,1722419922.6097753,36788.335,5031421.0,819529.0,0
delta,1722419922.8847682,36882.924,5104785.0,841026.0,0
delta,1722419923.1540504,34831.123,4873156.0,788195.0,0
delta,1722419923.4225755,35923.565,5165759.0,826735.0,0
delta,1722419923.690386,37265.249,5231921.0,842296.0,0
delta,1722419923.9589713,38791.604,5217150.0,849639.0,0
delta,1722419924.2391434,38595.985,5293383.0,863853.0,0
delta,1722419924.5282748,50830.547,6510848.0,1054919.0,0
delta,1722419924.8384178,35075.818,5015307.0,814221.0,0
delta,1722419925.1068437,43110.798,5611070.0,923095.0,0
delta,1722419925.3873258,34652.503,4909350.0,797130.0,0
delta,1722419925.6721478,30791.859,4412220.0,729122.0,0
delta,1722419925.9375713,34925.796,5076708.0,807534.0,0
delta,1722419926.2023096,39215.671,5478014.0,854979.0,0
delta,1722419926.4733603,36168.398,5323656.0,833788.0,0
delta,1722419926.7394772,34737.835,4905810.0,790015.0,0
delta,1722419927.004536,37569.387,5126269.0,835839.0,0
delta,1722419927.3320684,38904.304,5505906.0,874441.0,0
delta,1722419927.620785,40042.896,5432176.0,889618.0,0
delta,1722419927.8927493,35167.66,5213915.0,861130.0,0
delta,1722419928.1605444,36405.362,5042528.0,815444.0,0
delta,1722419928.4267848,34064.995,4905444.0,787016.0,0
delta,1722419928.6984408,35197.975,5102038.0,823813.0,0
delta,1722419928.966189,34923.494,4939440.0,800772.0,0
delta,1722419929.23049,33914.565,4920642.0,782044.0,0
delta,1722419929.517335,42494.21,5908066.0,913701.0,0
delta,1722419929.7984788,36348.715,5168932.0,823553.0,0
delta,1722419930.070021,35385.925,5092028.0,804841.0,0
delta,1722419930.336075,35117.048,5047717.0,804321.0,0
delta,1722419930.6108015,39040.502,5441880.0,862858.0,0
delta,1722419930.9391987,41322.02,4418385.0,910442.0,0
delta,1722419931.2707565,43343.25,4379810.0,929873.0,0
delta,1722419931.602768,41076.778,4732105.0,970509.0,0
delta,1722419931.9260218,43009.635,4450062.0,938303.0,0
delta,1722419932.2542722,41985.678,4420948.0,915246.0,0
delta,1722419932.5845735,43590.181,4403614.0,941424.0,0
delta,1722419932.9345248,39007.344,4352467.0,863945.0,0
delta,1722419933.2559612,36553.852,4984362.0,838700.0,0
delta,1722419933.561925,36043.035,4927599.0,831540.0,0
delta,1722419933.8658762,37185.878,4971728.0,836879.0,0
delta,1722419934.1743064,36152.522,4946703.0,834859.0,0
delta,1722419934.4793434,39138.512,5252061.0,887293.0,0
delta,1722419934.794061,36101.578,4896411.0,840735.0,0
delta,1722419935.0695493,39124.216,5195238.0,875481.0,0
delta,1722419935.34723,33061.006,4560108.0,769161.0,0
delta,1722419935.6204746,37576.258,4972704.0,829290.0,0
delta,1722419935.89762,38155.673,5142076.0,841622.0,0
delta,1722419936.177754,37431.068,5098925.0,848615.0,0
delta,1722419936.4590673,40638.38,5454881.0,916806.0,0
delta,1722419936.7383437,37111.668,5066333.0,835364.0,0
delta,1722419937.0142372,37421.155,5124193.0,836313.0,0
delta,1722419937.2918012,40589.162,5439256.0,879979.0,0
delta,1722419937.5718145,41339.956,5522447.0,894132.0,0
delta,1722419937.8578792,40026.006,5275438.0,887645.0,0
delta,1722419938.1364257,37654.385,5173265.0,836099.0,0
delta,1722419938.4117243,41240.394,5626207.0,902608.0,0
delta,1722419938.6921413,37119.49,5316331.0,848447.0,0
delta,1722419938.9697073,37791.909,5228868.0,854215.0,0
delta,1722419939.245472,37435.524,5154039.0,834646.0,0
delta,1722419939.5258193,37303.986,5221911.0,830897.0,0
delta,1722419939.8030636,37293.313,5327074.0,851858.0,0
delta,1722419940.0781066,38146.51,5263720.0,846840.0,0
delta,1722419940.3561435,38063.246,5234911.0,853098.0,0
delta,1722419940.6319816,37639.806,5292711.0,851399.0,0
delta,1722419940.9075983,37351.293,5173449.0,834370.0,0
delta,1722419941.1835406,37350.53,5204393.0,837583.0,0
delta,1722419941.4611464,38653.638,5385729.0,873738.0,0
delta,1722419941.738829,37231.83,5174242.0,835518.0,0
delta,1722419942.0261285,40857.245,5338915.0,910029.0,0
delta,1722419942.307138,40312.601,5377305.0,903465.0,0
delta,1722419942.5875087,39757.001,5196398.0,874655.0,0
delta,1722419942.8722863,37390.901,5110399.0,843168.0,0
delta,1722419943.1515977,37488.397,5022631.0,837690.0,0
delta,1722419943.42709,39456.705,5380358.0,876262.0,0
delta,1722419943.7080486,39684.778,5443590.0,878021.0,0
delta,1722419943.9852366,38694.926,5261095.0,847145.0,0
delta,1722419944.2630396,39460.5,5549363.0,884539.0,0
delta,1722419944.5415726,40962.7,5751572.0,896840.0,0
delta,1722419944.8237612,39027.568,5348863.0,863119.0,0
delta,1722419945.101323,37858.091,5222948.0,852256.0,0
delta,1722419945.3771603,37249.311,5303514.0,844759.0,0
delta,1722419945.651577,37563.642,5194445.0,840016.0,0
delta,1722419945.9279838,37112.754,5272447.0,842281.0,0
delta,1722419946.2040155,37875.929,5185107.0,841745.0,0
delta,1722419946.4789472,37489.941,5272631.0,847650.0,0
delta,1722419946.7565155,37614.369,5290880.0,843091.0,0
delta,1722419947.0528789,42840.129,5500780.0,943383.0,0
delta,1722419947.3363783,35673.533,4790698.0,800144.0,0
delta,1722419947.6132007,37258.919,5023852.0,834279.0,0
delta,1722419947.9052343,36497.844,5244982.0,858055.0,0
delta,1722419948.1809824,38502.766,5178332.0,865384.0,0
delta,1722419948.4518843,38573.227,5325731.0,861819.0,0
delta,1722419948.720683,35357.762,4890246.0,804306.0,0
delta,1722419948.9856918,36398.296,5091417.0,828403.0,0
delta,1722419949.252464,34645.616,4835864.0,771946.0,0
delta,1722419949.5240922,37693.557,5274096.0,849945.0,0
delta,1722419949.794183,37054.164,5102770.0,832305.0,0
delta,1722419950.0631638,37521.59,5206651.0,845127.0,0
delta,1722419950.3330142,36276.188,5103808.0,822436.0,0
delta,1722419950.5989957,35691.914,5033373.0,821472.0,0
delta,1722419950.867764,34494.931,5005847.0,796212.0,0
delta,1722419951.1380954,35373.889,4927233.0,810502.0,0
delta,1722419951.412844,37352.717,5071886.0,831555.0,0
delta,1722419951.6845803,36164.908,5082384.0,815964.0,0
delta,1722419951.9608753,35751.154,5184313.0,843245.0,0
delta,1722419952.241249,37664.211,5141222.0,847482.0,0
delta,1722419952.509405,36908.313,5130725.0,824027.0,0
delta,1722419952.7779243,36405.451,5163378.0,824732.0,0
delta,1722419953.0427835,34120.272,4838671.0,788087.0,0
delta,1722419953.3059118,35788.126,5113573.0,821580.0,0
delta,1722419953.571083,37518.617,5291063.0,841377.0,0
delta,1722419953.837641,34553.603,5012683.0,796656.0,0
delta,1722419954.1018662,35831.949,5045764.0,824042.0,0
delta,1722419954.3665848,34445.167,4849719.0,785838.0,0
delta,1722419954.63344,36346.462,5043261.0,816424.0,0
delta,1722419954.899003,35074.794,5036364.0,797161.0,0
delta,1722419955.1763225,37567.093,5228197.0,844621.0,0
delta,1722419955.4463696,38939.028,5561143.0,856096.0,0
delta,1722419955.7191663,38716.203,5455003.0,844667.0,0
delta,1722419956.0384436,38677.936,5331774.0,861452.0,0
delta,1722419956.351146,38486.904,5144213.0,844376.0,0
delta,1722419956.7175672,46576.59,6374190.0,1037830.0,0
delta,1722419957.0515013,39794.95,5407335.0,873599.0,0
delta,1722419957.3744612,38827.275,5351488.0,856922.0,0
delta,1722419957.6949103,38667.902,5359789.0,862353.0,0
delta,1722419958.0136817,40119.497,5463670.0,876537.0,0
delta,1722419958.3484488,41742.925,5582322.0,918535.0,0
delta,1722419958.6749737,43501.063,5790757.0,924472.0,0
delta,1722419958.9979417,40723.047,5548570.0,897115.0,0
delta,1722419959.3175027,40503.146,5505784.0,875022.0,0
delta,1722419959.6376708,39998.48,5486741.0,869989.0,0
delta,1722419959.9632683,40266.233,5532762.0,872437.0,0
delta,1722419960.2746174,36553.534,5204698.0,820065.0,0
delta,1722419960.5538545,40880.454,5692002.0,891149.0,0
delta,1722419960.8336253,40616.529,5652756.0,903694.0,0
delta,1722419961.1158938,40183.305,5507432.0,906127.0,0
delta,1722419961.398835,37886.031,5284593.0,846901.0,0
delta,1722419961.674328,37199.601,5220018.0,830331.0,0
delta,1722419961.9529188,39533.92,5372667.0,864389.0,0
delta,1722419962.2380745,40901.075,5659104.0,886298.0,0
delta,1722419962.5178373,37048.191,5160021.0,825435.0,0
delta,1722419962.8363142,41923.515,5615037.0,915230.0,0
delta,1722419963.160612,40043.14,5341722.0,877868.0,0
delta,1722419963.482684,41835.767,5645371.0,912782.0,0
delta,1722419963.8050437,40590.906,5539719.0,889802.0,0
delta,1722419964.165049,42810.169,5445787.0,916424.0,0
delta,1722419964.49111,43158.531,5607834.0,924961.0,0
delta,1722419964.8207116,41717.592,5957199.0,995418.0,0
delta,1722419965.143581,41026.816,5481248.0,906678.0,0
delta,1722419965.4679074,42123.402,5705795.0,929980.0,0
delta,1722419965.7887545,40779.267,5488389.0,894897.0,0
delta,1722419966.1113667,40249.446,5353258.0,885687.0,0
delta,1722419966.4341156,39937.122,5382433.0,884662.0,0
delta,1722419966.7544248,40207.554,5302721.0,881739.0,0
delta,1722419967.0702643,38605.442,5252611.0,866684.0,0
delta,1722419967.350122,36845.529,5079821.0,824578.0,0
delta,1722419967.6256826,37396.333,5183092.0,846962.0,0
delta,1722419967.9040325,39229.86,5311205.0,868367.0,0
delta,1722419968.1842606,37294.762,5120593.0,833284.0,0
delta,1722419968.4618893,38641.274,5276842.0,857014.0,0
delta,1722419968.740967,38806.223,5313158.0,848768.0,0
delta,1722419969.0206902,38859.542,5245898.0,849946.0,0
delta,1722419969.2987914,38020.34,5412767.0,856907.0,0
delta,1722419969.5813565,40474.493,5109301.0,887828.0,0
delta,1722419969.8615937,37353.823,4942187.0,840918.0,0
delta,1722419970.1367896,38095.77,5211351.0,857626.0,0
delta,1722419970.4200997,38331.487,5050158.0,850879.0,0
delta,1722419970.7015767,39697.516,5288378.0,887982.0,0
delta,1722419970.984233,40320.546,5314806.0,885793.0,0
delta,1722419971.2659268,37395.208,5098925.0,834156.0,0
delta,1722419971.5464537,37371.762,5129382.0,848553.0,0
delta,1722419971.827428,37448.685,5126573.0,846013.0,0
delta,1722419972.1055684,38285.871,5272691.0,862308.0,0
delta,1722419972.3858771,38648.776,5209704.0,860487.0,0
delta,1722419972.6692598,37728.372,5090075.0,840643.0,0
delta,1722419972.9480379,42139.255,5704697.0,907443.0,0
delta,1722419973.229812,43620.207,5528245.0,969209.0,0
delta,1722419973.5154166,38938.864,5374253.0,857366.0,0
delta,1722419973.7952988,38296.016,5109423.0,849640.0,0
delta,1722419974.0712361,36414.517,5094042.0,823079.0,0
delta,1722419974.3477583,38861.902,5279101.0,841668.0,0
delta,1722419974.630397,39170.074,5335069.0,865674.0,0
delta,1722419974.907233,37480.464,5208849.0,836726.0,0
delta,1722419975.1885295,37017.487,5161058.0,829306.0,0
delta,1722419975.4680634,42897.303,5870225.0,930041.0,0
delta,1722419975.7538478,40913.527,5323046.0,880423.0,0
delta,1722419976.0308654,36597.633,5001086.0,824563.0,0
delta,1722419976.3051422,35358.523,4892626.0,795278.0,0
delta,1722419976.5758243,38470.004,5163133.0,847222.0,0
delta,1722419976.8448272,38335.868,5298754.0,862844.0,0
delta,1722419977.117536,35966.642,4980395.0,816255.0,0
delta,1722419977.3831694,37221.897,5061633.0,827455.0,0
delta,1722419977.6509192,34335.307,4744068.0,780743.0,0
delta,1722419977.915019,35346.987,4834277.0,786680.0,0
delta,1722419978.181052,35155.91,4845325.0,793474.0,0
delta,1722419978.445941,36327.412,4897754.0,813180.0,0
delta,1722419978.7187366,36993.17,5062854.0,835426.0,0
delta,1722419978.987466,36301.435,4992602.0,829964.0,0
delta,1722419979.2556102,34975.635,4865711.0,778770.0,0
delta,1722419979.5451791,42268.96,5620591.0,909065.0,0
delta,1722419979.827275,37793.055,5068530.0,844698.0,0
delta,1722419980.1059449,39307.83,5312548.0,857136.0,0
delta,1722419980.385313,39058.409,5327196.0,864818.0,0
delta,1722419980.6624362,37259.76,5178393.0,848446.0,0
delta,1722419980.9367373,47607.349,6182601.0,979935.0,0
delta,1722419981.2237625,42858.497,5853074.0,940720.0,0
delta,1722419981.5099518,44478.737,5812058.0,942526.0,0
delta,1722419981.7949402,37637.004,5173815.0,841546.0,0
delta,1722419982.0813706,37331.793,5124925.0,830989.0,0
delta,1722419982.3572571,39229.734,5427232.0,857106.0,0
delta,1722419982.6360319,39097.734,5473863.0,866882.0,0
delta,1722419982.9127357,38282.904,5361924.0,843994.0,0
delta,1722419983.1901927,38696.147,5403733.0,858590.0,0
delta,1722419983.4676049,39162.625,5059253.0,880163.0,0
delta,1722419983.748607,39251.966,5273363.0,883652.0,0
delta,1722419984.0254612,39012.849,5302477.0,856448.0,0
delta,1722419984.3047523,42274.465,5685350.0,937997.0,0
delta,1722419984.584628,37672.209,5100268.0,846350.0,0
delta,1722419984.861041,40236.361,5444810.0,879887.0,0
delta,1722419985.1402986,38983.383,5440172.0,869362.0,0
delta,1722419985.4204001,39495.689,5511338.0,882305.0,0
delta,1722419985.697331,41036.919,5706223.0,895998.0,0
delta,1722419985.9827573,36718.671,5121264.0,830087.0,0
delta,1722419986.2567155,37526.089,5221178.0,827822.0,0
delta,1722419986.534683,37665.53,5177721.0,832749.0,0
delta,1722419986.811026,37996.909,5337206.0,845463.0,0
delta,1722419987.096336,42947.574,5458299.0,929964.0,0
delta,1722419987.381505,38328.358,5104662.0,847727.0,0
delta,1722419987.6578343,37186.703,4989733.0,828235.0,0
delta,1722419987.9368367,40360.721,5256151.0,874089.0,0
delta,1722419988.219286,37656.822,5085009.0,846411.0,0
delta,1722419988.4945767,36964.164,4818775.0,825205.0,0
delta,1722419988.7736638,37667.428,4920031.0,829841.0,0
delta,1722419989.0498056,40839.321,5289964.0,901277.0,0
delta,1722419989.3321905,39003.619,5175035.0,857749.0,0
delta,1722419989.6155984,39619.533,5159655.0,868076.0,0
delta,1722419989.8941336,38179.284,5128160.0,854260.0,0
delta,1722419990.1786258,37566.152,4997423.0,835396.0,0
delta,1722419990.4585273,38801.781,5022509.0,846014.0,0
delta,1722419990.7387085,37737.4,5021472.0,858912.0,0
delta,1722419991.0146103,39463.115,5036914.0,870402.0,0
delta,1722419991.2909155,36795.043,4849963.0,808926.0,0
delta,1722419991.5671074,37962.074,5109972.0,842433.0,0
delta,1722419991.8431625,38302.783,5161058.0,849518.0,0
delta,1722419992.1214402,42803.535,5660630.0,909249.0,0
delta,1722419992.4075322,40173.541,5533127.0,897329.0,0
delta,1722419992.6860397,38310.258,5164233.0,844590.0,0
delta,1722419992.9630423,40273.253,5507249.0,890108.0,0
delta,1722419993.2393699,37514.92,5152148.0,848446.0,0
delta,1722419993.5150857,38386.284,5226183.0,855974.0,0
delta,1722419993.7902884,39419.109,5365709.0,875542.0,0
delta,1722419994.0666628,37520.512,5069140.0,821166.0,0
delta,1722419994.3408127,38822.119,5309862.0,857183.0,0
delta,1722419994.6188588,37593.367,5022448.0,823140.0,0
delta,1722419994.9050863,32823.636,4607410.0,760349.0,0
delta,1722419995.1767526,37338.939,5055957.0,820768.0,0
delta,1722419995.4501832,36862.8,5087023.0,824609.0,0
delta,1722419995.7245772,39378.881,5119311.0,876659.0,0
delta,1722419996.0083618,39474.859,5223253.0,874716.0,0
delta,1722419996.2869313,38681.419,5184374.0,841225.0,0
delta,1722419996.570381,39246.239,5436388.0,931938.0,0
delta,1722419996.8575037,38581.865,5066515.0,848798.0,0
delta,1722419997.1384919,40357.196,5306872.0,882779.0,0
delta,1722419997.4155123,39579.293,5297655.0,885303.0,0
delta,1722419997.6952345,38031.024,5153246.0,862522.0,0
delta,1722419997.9719338,37927.53,5191698.0,846611.0,0
